		0	1	2	3	4	5	6	7	8	9	10	11	12	13
0,000	0,000	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911
1,000	1,000	0,911	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,911
2,000	2,000	0,911	0,957	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,957	0,911
3,000	3,000	0,911	0,957	0,983	0,996	0,996	0,996	0,996	0,996	0,996	0,996	0,996	0,983	0,957	0,911
4,000	4,000	0,911	0,957	0,983	0,996	1,000	1,000	1,000	1,000	1,000	1,000	0,996	0,983	0,957	0,911
5,000	5,000	0,911	0,957	0,983	0,996	1,000	0,997	0,997	0,997	0,997	1,000	0,996	0,983	0,957	0,911
6,000	6,000	0,911	0,957	0,983	0,996	1,000	0,997	0,988	0,988	0,997	1,000	0,996	0,983	0,957	0,911
7,000	7,000	0,911	0,957	0,983	0,996	1,000	0,997	0,988	0,988	0,997	1,000	0,996	0,983	0,957	0,911
8,000	8,000	0,911	0,957	0,983	0,996	1,000	0,997	0,997	0,997	0,997	1,000	0,996	0,983	0,957	0,911
9,000	9,000	0,911	0,957	0,983	0,996	1,000	1,000	1,000	1,000	1,000	1,000	0,996	0,983	0,957	0,911
10,000	10,000	0,911	0,957	0,983	0,996	0,996	0,996	0,996	0,996	0,996	0,996	0,996	0,983	0,957	0,911
11,000	11,000	0,911	0,957	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,983	0,957	0,911
12,000	12,000	0,911	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,911
13,000	13,000	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	
0	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	0,825	
1	0,825	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,911	0,825	
2	0,825	0,911	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,957	0,911	0,825	
